fdcId,database,subCategory
167679,sr_legacy,Restaurant Foods
167680,sr_legacy,Restaurant Foods
167681,sr_legacy,Beverages
167682,sr_legacy,Sweets
167683,sr_legacy,Sweets
167684,sr_legacy,Fats and Oils
167685,sr_legacy,Sausages and Luncheon Meats
167686,sr_legacy,Sweets
167687,sr_legacy,Dairy and Egg Products
167688,sr_legacy,Dairy and Egg Products
167689,sr_legacy,Sweets
167690,sr_legacy,Baby Foods
167691,sr_legacy,Fats and Oils
167692,sr_legacy,Fats and Oils
167693,sr_legacy,Fats and Oils
167694,sr_legacy,Sausages and Luncheon Meats
167695,sr_legacy,Fats and Oils
167696,sr_legacy,Sausages and Luncheon Meats
167697,sr_legacy,Dairy and Egg Products
167698,sr_legacy,Sausages and Luncheon Meats
167699,sr_legacy,Fats and Oils
167700,sr_legacy,Fats and Oils
167701,sr_legacy,Sweets
167702,sr_legacy,Fats and Oils
167703,sr_legacy,Dairy and Egg Products
167704,sr_legacy,Fats and Oils
167705,sr_legacy,Dairy and Egg Products
167706,sr_legacy,Sweets
167707,sr_legacy,Beverages
167708,sr_legacy,Vegetables and Vegetable Products
167709,sr_legacy,Poultry Products
167710,sr_legacy,Poultry Products
167711,sr_legacy,Beverages
167712,sr_legacy,Pork Products
167713,sr_legacy,Poultry Products
167714,sr_legacy,Vegetables and Vegetable Products
167715,sr_legacy,Breakfast Cereals
167716,sr_legacy,Dairy and Egg Products
167717,sr_legacy,Vegetables and Vegetable Products
167718,sr_legacy,Baby Foods
167719,sr_legacy,Legumes and Legume Products
167720,sr_legacy,Baby Foods
167721,sr_legacy,Sweets
167722,sr_legacy,Legumes and Legume Products
167723,sr_legacy,Beverages
167724,sr_legacy,Breakfast Cereals
167725,sr_legacy,Breakfast Cereals
167726,sr_legacy,Baby Foods
167727,sr_legacy,Beverages
167728,sr_legacy,Baby Foods
167729,sr_legacy,Baby Foods
167730,sr_legacy,Dairy and Egg Products
167731,sr_legacy,Baby Foods
167732,sr_legacy,Baby Foods
167733,sr_legacy,Baby Foods
167734,sr_legacy,Snacks
167735,sr_legacy,Dairy and Egg Products
167736,sr_legacy,Fats and Oils
167737,sr_legacy,Fats and Oils
167738,sr_legacy,Sweets
167739,sr_legacy,Beverages
167740,sr_legacy,Sweets
167741,sr_legacy,Sweets
167742,sr_legacy,Finfish and Shellfish Products
167743,sr_legacy,Sweets
167744,sr_legacy,Finfish and Shellfish Products
167745,sr_legacy,Finfish and Shellfish Products
167746,sr_legacy,Fruits and Fruit Juices
167747,sr_legacy,Fruits and Fruit Juices
167748,sr_legacy,Fruits and Fruit Juices
167749,sr_legacy,Fruits and Fruit Juices
167750,sr_legacy,Fruits and Fruit Juices
167751,sr_legacy,Fruits and Fruit Juices
167752,sr_legacy,Fruits and Fruit Juices
167753,sr_legacy,Fruits and Fruit Juices
167754,sr_legacy,Fruits and Fruit Juices
167755,sr_legacy,Fruits and Fruit Juices
167756,sr_legacy,Fruits and Fruit Juices
167757,sr_legacy,Fruits and Fruit Juices
167758,sr_legacy,Fruits and Fruit Juices
167759,sr_legacy,Fruits and Fruit Juices
167760,sr_legacy,Fruits and Fruit Juices
167761,sr_legacy,Fruits and Fruit Juices
167762,sr_legacy,Fruits and Fruit Juices
167763,sr_legacy,Fruits and Fruit Juices
167764,sr_legacy,Fruits and Fruit Juices
167765,sr_legacy,Fruits and Fruit Juices
167766,sr_legacy,Fruits and Fruit Juices
167767,sr_legacy,Fruits and Fruit Juices
167768,sr_legacy,Fruits and Fruit Juices
167769,sr_legacy,Fruits and Fruit Juices
167770,sr_legacy,Fruits and Fruit Juices
167771,sr_legacy,Fruits and Fruit Juices
167772,sr_legacy,Fruits and Fruit Juices
167773,sr_legacy,Fruits and Fruit Juices
167774,sr_legacy,Fruits and Fruit Juices
167775,sr_legacy,Fruits and Fruit Juices
167776,sr_legacy,Fruits and Fruit Juices
167777,sr_legacy,Fruits and Fruit Juices
167778,sr_legacy,Fruits and Fruit Juices
167779,sr_legacy,Fruits and Fruit Juices
167780,sr_legacy,Fruits and Fruit Juices
167781,sr_legacy,Fruits and Fruit Juices
167782,sr_legacy,Fruits and Fruit Juices
167783,sr_legacy,Fruits and Fruit Juices
167784,sr_legacy,Fruits and Fruit Juices
167785,sr_legacy,Fruits and Fruit Juices
167786,sr_legacy,Fruits and Fruit Juices
167787,sr_legacy,Fruits and Fruit Juices
167788,sr_legacy,Fruits and Fruit Juices
167789,sr_legacy,Fruits and Fruit Juices
167790,sr_legacy,Fruits and Fruit Juices
167791,sr_legacy,Fruits and Fruit Juices
167792,sr_legacy,Fruits and Fruit Juices
167793,sr_legacy,Fruits and Fruit Juices
167794,sr_legacy,Fruits and Fruit Juices
