fdcId,database,subCategory
2259794,foundation,Dairy and Egg Products
2259795,foundation,Dairy and Egg Products
2259796,foundation,Dairy and Egg Products
2261420,foundation,Nut and Seed Products
2261421,foundation,Cereal Grains and Pasta
2261422,foundation,Vegetables and Vegetable Products
2262072,foundation,Legumes and Legume Products
2262073,foundation,Nut and Seed Products
2262074,foundation,Nut and Seed Products
2262075,foundation,Nut and Seed Products
2346384,foundation,Dairy and Egg Products
2346385,foundation,Dairy and Egg Products
2346386,foundation,Dairy and Egg Products
2346387,foundation,Dairy and Egg Products
2346388,foundation,Vegetables and Vegetable Products
2346389,foundation,Vegetables and Vegetable Products
2346390,foundation,Vegetables and Vegetable Products
2346391,foundation,Vegetables and Vegetable Products
2346392,foundation,Nut and Seed Products
2346393,foundation,Nut and Seed Products
2346394,foundation,Nut and Seed Products
2346395,foundation,Nut and Seed Products
2346396,foundation,Cereal Grains and Pasta
2346397,foundation,Cereal Grains and Pasta
2346398,foundation,Fruits and Fruit Juices
2346399,foundation,Fruits and Fruit Juices
2346400,foundation,Vegetables and Vegetable Products
2346401,foundation,Vegetables and Vegetable Products
2346402,foundation,Vegetables and Vegetable Products
2346403,foundation,Vegetables and Vegetable Products
2346404,foundation,Vegetables and Vegetable Products
2346405,foundation,Vegetables and Vegetable Products
2346406,foundation,Vegetables and Vegetable Products
2346407,foundation,Vegetables and Vegetable Products
2346408,foundation,Vegetables and Vegetable Products
2346409,foundation,Fruits and Fruit Juices
2346410,foundation,Fruits and Fruit Juices
2346411,foundation,Fruits and Fruit Juices
2346412,foundation,Fruits and Fruit Juices
2346413,foundation,Fruits and Fruit Juices
2346414,foundation,Fruits and Fruit Juices
2512371,foundation,Cereal Grains and Pasta
2512372,foundation,Cereal Grains and Pasta
2512373,foundation,Cereal Grains and Pasta
2512374,foundation,Cereal Grains and Pasta
2512375,foundation,Cereal Grains and Pasta
2512376,foundation,Cereal Grains and Pasta
2512377,foundation,Vegetables and Vegetable Products
2512378,foundation,Cereal Grains and Pasta
2512379,foundation,Cereal Grains and Pasta
2512380,foundation,Cereal Grains and Pasta
2512381,foundation,Cereal Grains and Pasta
2514743,foundation,Beef Products
2514744,foundation,Beef Products
2514745,foundation,Pork Products
2514746,foundation,Poultry Products
2514747,foundation,Poultry Products
2515373,foundation,Nut and Seed Products
2515374,foundation,Nut and Seed Products
2515375,foundation,Nut and Seed Products
2515376,foundation,Legumes and Legume Products
2515377,foundation,Nut and Seed Products
2515378,foundation,Nut and Seed Products
2515379,foundation,Nut and Seed Products
2515380,foundation,Nut and Seed Products
2515381,foundation,Nut and Seed Products
2515382,foundation,Nut and Seed Products
2644281,foundation,Legumes and Legume Products
2644282,foundation,Legumes and Legume Products
2644283,foundation,Legumes and Legume Products
2644284,foundation,Legumes and Legume Products
2644285,foundation,Legumes and Legume Products
2644286,foundation,Legumes and Legume Products
2644287,foundation,Legumes and Legume Products
2644288,foundation,Legumes and Legume Products
2644289,foundation,Legumes and Legume Products
2644290,foundation,Legumes and Legume Products
2644291,foundation,Vegetables and Vegetable Products
2644292,foundation,Legumes and Legume Products
2644293,foundation,Legumes and Legume Products
2644294,foundation,Legumes and Legume Products
2646168,foundation,Pork Products
2646169,foundation,Pork Products
2646170,foundation,Poultry Products
2646171,foundation,Poultry Products
2646172,foundation,Beef Products
2646173,foundation,Beef Products
2646174,foundation,Beef Products
2646175,foundation,Beef Products
2647437,foundation,Dairy and Egg Products
2647438,foundation,Dairy and Egg Products
2647439,foundation,Dairy and Egg Products
2647440,foundation,Dairy and Egg Products
2647441,foundation,Dairy and Egg Products
2647442,foundation,Dairy and Egg Products
2647443,foundation,Dairy and Egg Products
2684440,foundation,Finfish and Shellfish Products
2684441,foundation,Finfish and Shellfish Products
2684442,foundation,Finfish and Shellfish Products
2684443,foundation,Finfish and Shellfish Products
2684444,foundation,Finfish and Shellfish Products
2684445,foundation,Finfish and Shellfish Products
2684446,foundation,Finfish and Shellfish Products
2685568,foundation,Vegetables and Vegetable Products
2685569,foundation,Vegetables and Vegetable Products
2685570,foundation,Vegetables and Vegetable Products
2685571,foundation,Vegetables and Vegetable Products
2685572,foundation,Vegetables and Vegetable Products
2685573,foundation,Vegetables and Vegetable Products
2685574,foundation,Vegetables and Vegetable Products
2685575,foundation,Vegetables and Vegetable Products
2685576,foundation,Vegetables and Vegetable Products
2685577,foundation,Vegetables and Vegetable Products
2685578,foundation,Vegetables and Vegetable Products
2685579,foundation,Vegetables and Vegetable Products
2685580,foundation,Vegetables and Vegetable Products
2685581,foundation,Vegetables and Vegetable Products
2685582,foundation,Vegetables and Vegetable Products
2710815,foundation,Fruits and Fruit Juices
2710816,foundation,Fruits and Fruit Juices
2710817,foundation,Fruits and Fruit Juices
2710818,foundation,Fruits and Fruit Juices
2710819,foundation,Cereal Grains and Pasta
2710820,foundation,Cereal Grains and Pasta
2710821,foundation,Cereal Grains and Pasta
2710822,foundation,Vegetables and Vegetable Products
2710823,foundation,Vegetables and Vegetable Products
2710824,foundation,Fruits and Fruit Juices
2710825,foundation,Cereal Grains and Pasta
2710826,foundation,Vegetables and Vegetable Products
2710827,foundation,Cereal Grains and Pasta
2710828,foundation,Cereal Grains and Pasta
2710829,foundation,Cereal Grains and Pasta
2710830,foundation,Cereal Grains and Pasta
2710831,foundation,Fruits and Fruit Juices
2710832,foundation,Fruits and Fruit Juices
2710833,foundation,Fruits and Fruit Juices
2710834,foundation,Fruits and Fruit Juices
2710835,foundation,Cereal Grains and Pasta
2710836,foundation,Fruits and Fruit Juices
2710837,foundation,Fruits and Fruit Juices
2710838,foundation,Cereal Grains and Pasta
2710839,foundation,Cereal Grains and Pasta
2710840,foundation,Cereal Grains and Pasta
2710841,foundation,Cereal Grains and Pasta
2710842,foundation,Cereal Grains and Pasta
2710843,foundation,Fruits and Fruit Juices
2727566,foundation,Poultry Products
2727567,foundation,Poultry Products
2727568,foundation,Poultry Products
2727569,foundation,Poultry Products
2727570,foundation,"Lamb, Veal, and Game Products"
2727571,foundation,"Lamb, Veal, and Game Products"
2727572,foundation,Beef Products
2727573,foundation,Beef Products
2727574,foundation,Beef Products
2727575,foundation,Pork Products
2727576,foundation,Pork Products
2727577,foundation,Fruits and Fruit Juices
2727578,foundation,Vegetables and Vegetable Products
